User ID,Predicted User Category,Recommended News Category,Recommended Article
U9354,user_2,Crime,"Fla. Man Accused In Killing Of Wife, Friend, Pastor"
U6785,user_1,Tech,Google's AlphaGo AI Program Defeats One Of World's Best 'Go' Players
U6305,user_3,Entertainment,Ben Affleck Not Running For Senate In Massachusetts
U5549,user_1,Tech,Watch The Top 9 YouTube Videos Of The Week
U6070,user_1,Tech,Apple Pay Is Expanding
U9277,user_2,Crime,Another Year without Celina
U1090,user_2,Crime,1-Month-Old's Face Mauled By Ferrets In Philadelphia Home
U8223,user_3,Entertainment,Hell Must Have Frozen Over Because There's Going To Be A 'High School Musical 4'
U5799,user_1,Tech,The Content Brief: TV Goes Multiplatform at the Upfronts [WATCH]
U3355,user_2,Crime,Retired Cop's Beloved Dog To Be Auctioned Off 'Like A Shovel'
U0964,user_2,Crime,"Chad Palmer, Georgia Deputy Sheriff, Suspended After Dressing In Blackface With Inmate Stripes"
U6130,user_3,Entertainment,"Listen To Kurt Cobain's Raw, Haunting Cover Of The Beatles' 'And I Love Her'"
U1693,user_1,Tech,Microsoft's 'Smart Mirror' Can Read Your Emotions
U6543,user_3,Entertainment,Gwen Stefani And Blake Shelton Take Their Love To The Billboard Music Awards
U6949,user_1,Tech,'Flappy Bird' Creator Taking App Down: 'I Cannot Take This'
U8004,user_3,Entertainment,"The Women Are Already Killing It On 'Game Of Thrones' This Season, As Promised"
U8706,user_1,Tech,"Privacy, Google, and Facebook: Chill!"
U1757,user_1,Tech,Internet Trolls: Disconnect and Reflect on Alan Turing
U3993,user_1,Tech,Rare Pokemon Sparks Massive Stampede In Taiwan
U1322,user_2,Crime,Man Brutally Kills Ex and Her Grandma Because Of Baby's Name: Cops
U2352,user_1,Tech,Is There A Way To Outsmart Text Message Spammers?
U2354,user_2,Crime,Arson Suspected In Islamic Center Fire: Reports
U7417,user_2,Crime,Body Of Missing Gravel Pit Worker Found Nearly A Week After Mine Collapse
U6403,user_3,Entertainment,This Airport Is Offering Galactic Flights For 'Star Wars' Day
U7693,user_1,Tech,Samsung Electric LCD Business To Be Spun Off
U6289,user_3,Entertainment,'Gilmore Girls: A Year In The Life' Review!
U9485,user_2,Crime,"Men Are Impersonating Police To Sexually Exploit Women, And We're Not Paying Enough Attention"
U2029,user_3,Entertainment,Seth Meyers Takes Jab At Donald Trump During Northwestern Commencement Speech
U2079,user_3,Entertainment,Kourtney Kardashian Pulls A 'Mean Girls' Move On Khloe
U9148,user_1,Tech,"Yahoo, Third Point Square Off For Proxy Fight Despite Three New Independent Board Directors"
U0887,user_1,Tech,NY Tech Scene - Rising:  NY Stars Light up NYTM
U4301,user_2,Crime,SWAT Team Throws Grenade That Blows Up In Toddler's Face
U0821,user_2,Crime,"Christina Lopez, Oregon Mom, Allegedly Watched Her Underage Daughter Strip"
U2483,user_1,Tech,You Might Lose Sleep Over This Guy's Facebook Hack
U3064,user_1,Tech,3 Enlightening Charts Explain How Men Took Over Tech
U7057,user_2,Crime,"Police Seek 'Cute,' 'Handsome' And 'Well Dressed' Con Man"
U4644,user_2,Crime,University Of Wisconsin Student Accused Of Multiple Sexual Assaults
U1896,user_1,Tech,HTC Executives Arrested On Suspicion Of Leaking Trade Secrets To China
U4462,user_1,Tech,Why It's Taking So Long To Get More Electric Cars On The Road
U2107,user_3,Entertainment,Tavis Smiley: My Conversation With Boz Scaggs
U6516,user_3,Entertainment,"Kylie Jenner's Rumored New Man, PartyNextDoor, Is Already Singing Songs About Her"
U2583,user_1,Tech,More Bad News For Android Users
U0158,user_3,Entertainment,In Praise Of Men And Women Who Know How To Be Funny Together
U7976,user_1,Tech,Why Online Gambling Is Still Illegal In Most U.S. States
U8301,user_1,Tech,Ad-Blocking Just Might Save The Ad Industry
U7650,user_3,Entertainment,Taylor Swift's Former Bodyguard Said He Saw Groping Occur
U4134,user_1,Tech,Yelp Helps You Avoid Hipsters And Yuppies In Your City
U8343,user_3,Entertainment,May Demi Lovato's 6-Year Message Of Sobriety Inspire Us All
U8886,user_1,Tech,DVD Player In Tesla Raises Questions In Autopilot Death
U5042,user_1,Tech,"Facebook Is Killing Phone Numbers, And That's OK"
U8081,user_3,Entertainment,Enrique Iglesias And Anna Kournikova Share First Photos Of Newborn Twins
U9256,user_3,Entertainment,Tim Allen Reveals 'The Santa Clause' Was Originally A Lot Darker
U6810,user_2,Crime,Teacher Accused Of Sending Racy Photos To Students Is Fired
U1098,user_1,Tech,"Senator Charles Schumer Asks FTC To Probe Apple, Android"
U3336,user_1,Tech,The Reason Why You Felt That 'Phantom Buzz'
U5905,user_1,Tech,Cola Messenger Is Like Text Messaging On Steroids
U2330,user_2,Crime,18-Year-Old Indiana Man Arrested For Planning To Join Islamic State
U0929,user_2,Crime,Poodle 'In Good Health' After Found Locked Inside Discarded Suitcase
U2066,user_1,Tech,"Senator Charles Schumer Asks FTC To Probe Apple, Android"
U9542,user_2,Crime,"Argument Between Grandmas Ends In Shootout At Texas Walmart, Cops Say"
U7684,user_3,Entertainment,'Game Of Thrones' Episode Description Seemingly Hints At Shocking Arya Twist
U9902,user_2,Crime,Baltimore Detective Killed A Day Before Testifying In Federal Case Against Fellow Cops
U0254,user_1,Tech,A Funeral for Online Appropriateness
U0485,user_1,Tech,ZNGA: Zynga Stock Drops On Weak Pivot To Mobile; Loss Of Casual Gamers Turns Serious
U8862,user_3,Entertainment,Real Frustrated Lawyers Tell A Fake Trump They Won't Save Him
U4331,user_1,Tech,Twitter Hires A Man To Make Sure It's Hiring Enough Women And Minorities
U5342,user_3,Entertainment,Kylie Jenner Gets Long Grey Locks For Halloween
U6863,user_1,Tech,Genius Hack Shows How To Use Amazon Prime Now To Help The Homeless
U6030,user_1,Tech,Google Removed 50 Million 'Pirate' Search Results This Year
U5373,user_1,Tech,JBL Flip Review; JBL Charge Review
U5091,user_3,Entertainment,The Moment Bernie Sanders And Larry David Find Out They're Related Is Too Good
U7226,user_1,Tech,The Addiction and Cost of Social Media
U5243,user_3,Entertainment,Here's Jaden Smith Dancing To 5 Seconds Of Summer
U0010,user_1,Tech,"iPad 3 Release Date And Specs, 'iPad 4G', And An iPad Mini: This Week In Apple Rumors"
U5616,user_2,Crime,New York City Imam Killing Suspect Charged With Murder
U8034,user_1,Tech,"Anonymous Hacks Israel, Declares 'All Your Base Are Belong To Us'"
U1824,user_2,Crime,Two Women Who Broadcast Islamophobic Mosque Visit With Children Are Indicted
U2640,user_2,Crime,Man And Girlfriend Allegedly Kill His Father And Oklahoma Officer
U2176,user_2,Crime,Man Accused Of Keeping Woman In Crate Killed By Cops
U1074,user_1,Tech,"Facebook, Google And Others Face Growing Pressure To Restrict Speech Online"
U0204,user_2,Crime,Cherish Lily Perrywinkle Body Found: Donald James Smith Arrested In 8-Year-Old Girl's Abduction
U4928,user_3,Entertainment,"Will Smith Expertly Trolls Son Jaden, Recreates His 'Icon' Music Video"
U5512,user_3,Entertainment,1946 Acorn Drama Close to the Enemy Weighs Valuable Scientific Assets vs. Nazi War Criminals
U7121,user_2,Crime,Officers Fired Upon In Fatal Los Angeles Area Shooting
U0609,user_3,Entertainment,What To Watch On Amazon Prime That’s New This Week
U7252,user_2,Crime,Sex With the Female Teacher... Don't Tell
U4194,user_1,Tech,'The Mobile' Is Reliably Unreliable
U0546,user_2,Crime,Pedro Hernandez Knew 'Intimate Details' Connecting Him To Etan Patz Slaying: Sources
U5816,user_1,Tech,Watch The Top 9 YouTube Videos Of The Week
U2787,user_1,Tech,All It Takes To Buy A Stolen Password On The Internet Is 55 Cents
U9501,user_3,Entertainment,"Michelle Obama, Serena Williams Channel Beyoncé For Birthday Surprise"
U9295,user_1,Tech,How Pirates And Hackers Worked Together To Steal Millions Of Dollars In Diamonds
U2600,user_1,Tech,How Facebook Autoplay Is Triggering Vicarious Trauma
U6284,user_3,Entertainment,Sam Mendes Hints 'Spectre' Will Be His Final Bond Film
U6527,user_2,Crime,Cop Car Found Torched In Florida With 'Black Lives Matter' Note: Police
U6034,user_2,Crime,"Teen Allegedly Kidnapped As Infant Reunites With Parents, 18 Years Later"
U6398,user_3,Entertainment,This Viral Photo Of Nicolas Cage Perfectly Encapsulates 2017
U1026,user_1,Tech,Some Government Agencies Still Uses Floppy Disks
U9466,user_3,Entertainment,Alec Baldwin's Donald Trump Takes His Grievances To 'The People's Court' On 'SNL'
U2114,user_2,Crime,Witnesses Recount Horror At Orlando Nightclub During Mass Shooting
U0595,user_1,Tech,Machinima Premieres 'Halo 4: Forward Unto Dawn'
U3401,user_1,Tech,"iPhone 5 Preorders, iPad Mini Predictions, And Apple TV: This Week In Apple Rumors"
U8200,user_1,Tech,This Is How Visualizing Open Data Can Help Save Lives
U5527,user_1,Tech,'Trump Filter' Erases The Donald From Your Chrome Browser
U3453,user_1,Tech,"iPhone 5, iPad Mini Release Date, And iPad '4': This Week In Apple Rumors"
U4058,user_3,Entertainment,The Challenges of Chloe Temtchine
U8718,user_1,Tech,How Mark Zuckerberg's Control Of Facebook Lets Him Print Money
U8509,user_2,Crime,Man Accused Of Driving Through Memorial Day Cross Display
U9838,user_2,Crime,Florida Bestiality Law: Oral Sex Loophole May Only Cover Some Forms Of Contact
U1314,user_1,Tech,New York Tech Rising
U7327,user_1,Tech,Woman In China Says Colleague’s Face Was Able To Unlock Her iPhone X
U3607,user_1,Tech,Amazon’s Flying Warehouse Idea Isn’t Even Its Biggest Challenge
U6548,user_2,Crime,New York City Police Fatally Shoot Man With Knife Near Times Square
U5175,user_3,Entertainment,"Jamie Foxx & Kerry Washington, 'Django Unchained' Stars, On How Quentin Tarantino Is Hip-Hop"
U2229,user_2,Crime,Man's 'World Destroyed' After Cop Kills Burberry The Service Dog
U8340,user_2,Crime,"Lac-Megantic Explosions, Fire Sparked By Train Derailment (PHOTOS, VIDEO)"
U7008,user_2,Crime,"Man Opened Fire In Chicago Apartment Complex, Killing 4 Neighbors: Police"
U6710,user_2,Crime,Chicago's Bloody July 4th Weekend
U5799,user_3,Entertainment,This Is What 11 Golden Globe Nominees Looked Like Before They Were Famous
U6854,user_3,Entertainment,'70s Newsroom Drama 'Good Girls Revolt' Premiering On Amazon
U3302,user_1,Tech,Silicon Valley Vows To Improve Tech For People With Disabilities
U8407,user_1,Tech,7 Last-Minute Gifts For The Budding Coder In Your Life
U3520,user_3,Entertainment,Jeff Goldblum To Reprise Role In 'Jurassic World' Sequel
U7504,user_2,Crime,Lessons of Ferguson: For the Good of Law Enforcement
U6880,user_3,Entertainment,"Carrie Bradshaw Is Not Only Back, She's Going To Solve Crime"
U1582,user_2,Crime,"John Bolaris, Former Weatherman, Allegedly Seduced, Conned Out of $43,000 By Sexy Bar Girls"
U8898,user_1,Tech,U.S. Takes Apple To Trial Over eBooks: 'This Case Will Effectively Set The Rules For Internet Commerce'
U7917,user_3,Entertainment,'Last Jedi' Director Reveals The First Word Uttered In The Film
U4578,user_3,Entertainment,Madonna's Anti-Trump Cover Of Britney Spears' 'Toxic' Is The Antidote We Need To 2016
U4363,user_2,Crime,Austin Police Department Apologizes For Officers' Rape Joke
U5687,user_3,Entertainment,Kate Hudson And Goldie Hawn Hit The Red Carpet
U2176,user_1,Tech,Bill Gates Sounds Skeptical Of Zuckerberg's WhatsApp Deal: 'I Hope It Works Out For Him'
U7702,user_1,Tech,Facebook Is Developing A Camera App To Rival Snapchat: Report
U7986,user_2,Crime,It's Not Only About Domestic Violence
U8166,user_2,Crime,REPORT: Jack The Ripper Finally Identified
U1541,user_3,Entertainment,Kendall Jenner Confronts The Haters With A 'Mean Girls' Parody
U2484,user_3,Entertainment,Kanye West Wants To Fix The World Like He Fixed Kim K's Pants
U6522,user_2,Crime,Real Criminal Justice Reform Requires Listening to Those Most Commonly Impacted by Crime
U3744,user_3,Entertainment,Lena Dunham Plans To Dress As A Planned Parenthood Doctor For Halloween
U5589,user_2,Crime,"Six Dead, 10 Hurt In Baltimore Commuter, School Bus Crash"
U3847,user_3,Entertainment,Best of Venice: With Tsili Amos Gitai Explains Survival in a Desperate Universe
U7977,user_1,Tech,Mom Creates Dreamlike Art Using Just Her iPhone And Kids
U3321,user_2,Crime,"Girl, 11, Finds Wanted Man Hiding Inside Her Bedroom Closet"
U8236,user_3,Entertainment,Bill Cosby Faces New Sexual Assault Accusations As Three More Women Step Forward
U9667,user_3,Entertainment,How A Mom Who Has Bailed Son Out Of Jail 13 Times Is Enabling Him
U6103,user_1,Tech,"iPhone 5, iTV Release, And New iOS Maps: This Week In Apple Rumors"
U3055,user_3,Entertainment,Olivia Newton-John Has The Best Response To That 'Grease' Fan Theory
U7023,user_1,Tech,Skype Type Stuff at Trial and Beyond: Be Prepared
U7726,user_1,Tech,Another Tech Giant Is Getting Into The Self-Driving Car Game
U2368,user_1,Tech,Twitter's Shareholders Don't Believe The Company Can Transform
U3026,user_2,Crime,Police: Gunman Killed After Ambushing Officers Near Chicago
U6327,user_2,Crime,Taxi Driver With Knife In His Head Walks Into Hospital
U3383,user_1,Tech,Lack Of Diversity In Tech Makes It Difficult To Override Russian Fake News
U6834,user_1,Tech,"Apple Debuts Massive, 12.9-Inch iPad Pro"
U9799,user_2,Crime,Ex-Vanderbilt Football Player Found Guilty In Gang Rape Of Unconscious Student
U3225,user_2,Crime,"Terrifying Photo Shows Robber Pointing Gun In Guard's Face During $300,000 Queens Heist"
U9268,user_3,Entertainment,Here Are The 2018 Golden Globe Nominations
U2786,user_2,Crime,Severed Foot Discovered In Berkeley BART Station
U3728,user_3,Entertainment,70th Venice Film Festival Plays Host To 'Gravity' And 'Parkland'
U0633,user_2,Crime,Two Victims Shot On Texas Southern University Campus
U8527,user_2,Crime,Chicago Police Body-Camera Rollout To Be Finished Early: Mayor
U6488,user_3,Entertainment,"PSA: Body Shamers, Do Not Come For Zendaya Because She Will Own You"
U6639,user_1,Tech,U.S. Takes Apple To Trial Over eBooks: 'This Case Will Effectively Set The Rules For Internet Commerce'
U7784,user_3,Entertainment,"Interview With Nick Frost on Cuban Fury, Wrapping Up the Cornetto Trilogy"
U8884,user_3,Entertainment,Khloe Kardashian Stuns In Sheer-Paneled Dress
U1657,user_1,Tech,"Apple, Facebook Come Out Against Controversial Cybersecurity Bill"
U4141,user_1,Tech,"Monoprice 27"" IPS-G Pro LED Monitor WQHD 2560x1440 (Product ID 10489) Review"
U7665,user_1,Tech,Microsoft: Apple Samsung Lawsuit's Other Big Winner
U1246,user_2,Crime,American Prison Warden Blown Away By Norwegian Jail
U3874,user_1,Tech,DIY Home Security Automation is easy
U9742,user_1,Tech,More States Just Dealt A Blow To Uber Drivers Seeking Benefits
U0464,user_2,Crime,Virginia Mayor Arrested In Meth-For-Sex Sting
U6752,user_3,Entertainment,"Michelle Obama, Serena Williams Channel Beyoncé For Birthday Surprise"
U6482,user_3,Entertainment,"In Two Challenging 'Postfeminist' Movies, Isabelle Huppert's Long Career Comes Full-Circle"
U3170,user_1,Tech,DVD Player In Tesla Raises Questions In Autopilot Death
U4941,user_3,Entertainment,'Girl On Fire' Video: Alicia Keys Goes Retro (VIDEO)
U8212,user_1,Tech,How To Avoid Online Charity Scams This Holiday Season
U8861,user_1,Tech,You Can Hire A Pokémon Go Trainer For $20 An Hour Because The World Is Good
U5189,user_3,Entertainment,"Will Ferrell, Amy Poehler Show You Shouldn't Bet Against 'The House'"
U5847,user_1,Tech,The Surprising Thing You Never Noticed About Apple
U5768,user_3,Entertainment,'Maze Runner' Star Dylan O'Brien Reportedly Run Over By Car During Filming
U9594,user_1,Tech,WhatsApp Finally Adds Fully-Encrypted Video Calling Service
U4114,user_1,Tech,"Hands-Free Tech Like Siri Can Be Dangerous For Drivers, Study Says"
U4662,user_3,Entertainment,'Grey's Anatomy' Fans Launch Petition To Bring Back McDreamy
U1292,user_2,Crime,Teen Allegedly Shoots Family After They Wake Him Up For School
U7921,user_3,Entertainment,Justin Bieber Knows Who Shawn Mendes Is After All
U2532,user_2,Crime,"Amanda Knox Says Woman Who Told Boyfriend To Kill Himself Needs Sympathy, Not Prison"
U9555,user_1,Tech,"Privacy Suit Filed Against Path, Twitter, Apple, Facebook, Others"
U8183,user_1,Tech,Tim Cook Pauses During Apple Keynote To Address Shooting In Orlando
U5126,user_1,Tech,"iPad Maxi, Mini, and Micro: One Size No Longer Fits All!"
U4529,user_1,Tech,The Woman Behind The Game-Changing 'Star Wars Battlefront'
U6126,user_1,Tech,Prosecutor Confirms Google Paris Raid In Tax Evasion Probe
U6018,user_1,Tech,Microsoft Fights U.S. Government Over Data Requests
U3928,user_3,Entertainment,"Nickelodeon Might Revive 'The Rugrats,' 'Hey Arnold!' And Other Classics"
U7148,user_3,Entertainment,"22 Toys Every 'Star Wars,' 'Transformers' & Marvel Fan Should Know About"
U9834,user_2,Crime,Police Kill Armed Black Man In St. Louis On Anniversary Of Another Officer-Involved Shooting
U0179,user_3,Entertainment,Tom Hanks Offers Suggestion To Those 'Frustrated' With Current Affairs: 'Read History'
U8267,user_2,Crime,Trayvon Martin and Race: A Sober Assessment
U0641,user_3,Entertainment,Matt Damon And Kim Kardashian Star In Ellen DeGeneres' 'Stuck On Uranus' Trailer
U7577,user_3,Entertainment,Simone Biles Fangirls Over 'Pretty Little Liars' The Way We Fangirl Over Her
U2103,user_2,Crime,Here's Everything We Know About The San Bernardino Attackers
U3225,user_1,Tech,Ashley Madison Hackers Taunt CEO In New Data Dump: Report
U2719,user_3,Entertainment,Gene Wilder Calls Tim Burton's Willy Wonka An 'Insult' In 2013 Interview
U8803,user_2,Crime,University Of Chicago Shooting Threat A Response To Laquan McDonald Video
U1703,user_2,Crime,Texas Executes Man Convicted Of Killing 2 Subway Shop Workers During 2002 Robbery
U7747,user_1,Tech,Facebook To Block Private Gun Sales
U7461,user_2,Crime,Louisiana Movie Theater Shooting Victims Identified
U2829,user_2,Crime,Dad Admits Killing Family On Facebook: 'Now My Family Is Pain Free'
U4464,user_2,Crime,Pilot Killed After Hospital Helicopter Crashes And Burns
U1102,user_2,Crime,Judge and Prosecutor Secretly Texting During Murder Trial
U6711,user_2,Crime,"Charles Manson Reportedly Hospitalized, In Deteriorating Condition"
U4697,user_2,Crime,How Noor Salman Became The Scapegoat Of The Pulse Massacre
U2018,user_3,Entertainment,'American Ninja Warrior' Winner Challenges Show To Make Course Harder Next Time
U3689,user_1,Tech,What's The Future Of Bitcoin Mining?
U6580,user_3,Entertainment,Vulture's Critics Poll Names The Worst Movie Of The Year
U4374,user_1,Tech,Curating Facebook: Finding Meaning in the Noise
U0884,user_3,Entertainment,Macklemore To Fans: Use Music To Resist Trump
U9990,user_2,Crime,CAUGHT ON VIDEO: Daycare Worker Kicks Toddler
U2648,user_1,Tech,'Pebble Seizure Detect' Is A Brilliant Use For Smartwatches That Could Save Lives
U0416,user_3,Entertainment,Walter's World: Stars Trek to Celebrate Mr. Koenig
U1605,user_1,Tech,"New iPhone To Bring The Color, The Fingerprint: This Week In Apple Rumors"
U7459,user_3,Entertainment,Amazon Shelves 'X-Files' Creator's Sci-Fi Series Before It Begins
U0288,user_3,Entertainment,Sisqo's 10 Craziest Outfits
U1238,user_1,Tech,Own A Vizio Smart TV? It's Watching You.
U5213,user_2,Crime,Dishonor Roll: 10 Most Notorious Teacher Sex Scandals Of 2013
U2324,user_2,Crime,"If We're Keeping the Death Penalty, Then Bring Back Firing Squads"
U5917,user_1,Tech,Yahoo Intern's New Logo Design Was Way Better
U1468,user_1,Tech,How In The World Does Venmo Make Money?
U7498,user_3,Entertainment,Hayden Panettiere Returns To The Red Carpet After Receiving Treatment For Postpartum Depression
U6710,user_3,Entertainment,These 16 Movies Are Vying For Best Picture In The 2018 Oscar Race
